256 256
2 209 10
2 210 1
2 211 2
2 212 4
2 213 7
2 214 3
2 215 3
2 216 2
2 217 5
2 218 1
2 219 4
2 220 2
2 221 4
2 222 3
2 223 5
2 224 1
2 225 10
2 226 9
2 227 10
2 228 7
2 229 4
2 230 3
2 231 10
2 232 6
2 233 9
2 234 3
2 235 2
2 236 8
2 237 2
2 238 7
2 239 6
2 240 7
2 241 9
2 242 7
2 243 2
2 244 9
2 245 6
2 246 7
2 247 1
2 248 6
2 249 6
2 250 9
2 251 7
2 252 9
2 253 4
2 254 4
2 255 8
3 0 7
3 1 2
3 2 1
3 3 7
3 4 10
3 5 4
3 6 5
3 7 3
3 8 10
3 9 9
3 10 6
3 11 5
3 12 6
3 13 4
3 14 4
3 15 4
3 16 3
3 17 3
3 18 5
3 19 10
3 20 7
3 21 4
3 22 9
3 23 7
3 24 3
3 25 6
3 26 5
3 27 6
3 28 9
3 29 8
3 30 10
3 31 9
3 32 7
3 33 7
3 34 5
3 35 5
3 36 3
3 37 4
3 38 4
3 39 10
3 40 6
3 41 6
3 42 10
3 43 8
3 44 2
3 45 7
3 46 9
3 47 4
3 48 4
3 49 3
3 50 2
3 51 4
3 52 2
3 53 5
3 54 8
3 55 6
3 56 4
3 57 7
3 58 3
3 59 2
3 60 8
3 61 6
3 62 10
3 63 10
3 64 2
3 65 3
3 66 1
3 67 10
3 68 4
3 69 8
3 70 4
3 71 2
3 72 9
3 73 7
3 74 6
3 75 3
3 76 6
3 77 6
3 78 1
3 79 8
3 80 10
3 81 1
3 82 6
3 83 4
3 84 6
3 85 5
3 86 9
3 87 6
3 88 7
3 89 8
3 90 6
3 91 4
3 92 3
3 93 6
3 94 5
3 95 7
3 96 5
3 97 3
3 98 4
3 99 1
3 100 6
3 101 4
3 102 1
3 103 9
3 104 5
3 105 7
3 106 2
3 107 10
3 108 2
3 109 2
3 110 1
3 111 4
3 112 10
3 113 10
3 114 4
3 115 7
3 116 2
3 117 6
3 118 9
3 119 3
3 120 9
3 121 5
3 122 5
3 123 3
3 124 6
3 125 10
3 126 4
3 127 5
3 128 4
3 129 6
3 130 2
3 131 6
3 132 3
3 133 7
3 134 6
3 135 3
3 136 6
3 137 9
3 138 2
3 139 4
3 140 2
3 141 9
3 142 1
3 143 8
3 144 7
3 145 1
3 146 7
3 147 10
3 148 10
3 149 8
3 150 1
3 151 10
3 152 7
3 153 1
3 154 2
3 155 7
3 156 9
3 157 9
3 158 6
3 159 3
3 160 7
3 161 4
3 162 4
3 163 9
3 164 9
3 165 3
3 166 7
3 167 2
3 168 5
3 169 6
3 170 4
3 171 9
3 172 6
3 173 9
3 174 8
3 175 7
3 176 2
3 177 8
3 178 8
3 179 2
3 180 1
3 181 3
3 182 1
3 183 1
3 184 9
3 185 1
3 186 9
3 187 5
3 188 7
3 189 7
3 190 1
3 191 7
3 192 9
3 193 1
3 194 3
3 195 7
3 196 6
3 197 2
3 198 4
3 199 7
3 200 9
3 201 1
3 202 2
3 203 1
3 204 2
3 205 4
3 206 5
3 207 4
3 208 6
3 209 1
3 210 6
3 211 5
3 212 1
3 213 10
3 214 5
3 215 5
3 216 3
3 217 5
3 218 2
3 219 10
3 220 9
3 221 10
3 222 9
3 223 8
3 224 6
3 225 4
3 226 7
3 227 4
3 228 3
3 229 7
3 230 9
3 231 10
3 232 8
3 233 7
3 234 1
3 235 7
3 236 4
3 237 9
3 238 1
3 239 10
3 240 4
3 241 6
3 242 7
3 243 9
3 244 5
3 245 9
3 246 5
3 247 2
3 248 8
3 249 5
3 250 2
3 251 9
3 252 2
3 253 10
3 254 6
3 255 9
4 0 4
4 1 4
4 2 10
4 3 3
4 4 4
4 5 7
4 6 10
4 7 1
4 8 5
4 9 6
4 10 9
4 11 1
4 12 1
4 13 1
4 14 4
4 15 1
4 16 6
4 17 8
4 18 4
4 19 3
4 20 7
4 21 3
4 22 8
4 23 4
4 24 4
4 25 6
4 26 8
4 27 8
4 28 7
4 29 5
4 30 6
4 31 7
4 32 4
4 33 2
4 34 9
4 35 6
4 36 1
4 37 7
4 38 10
4 39 6
4 40 8
4 41 1
4 42 5
4 43 4
4 44 7
4 45 2
4 46 4
4 47 6
4 48 3
4 49 8
4 50 6
4 51 5
4 52 4
4 53 9
4 54 6
4 55 3
4 56 9
4 57 6
4 58 1
4 59 8
4 60 8
4 61 5
4 62 3
4 63 9
4 64 4
4 65 8
4 66 6
4 67 6
4 68 1
4 69 5
4 70 4
4 71 1
4 72 4
4 73 7
4 74 2
4 75 1
4 76 7
4 77 7
4 78 3
4 79 9
4 80 5
4 81 2
4 82 1
4 83 5
4 84 2
4 85 9
4 86 5
4 87 1
4 88 8
4 89 8
4 90 1
4 91 1
4 92 4
4 93 6
4 94 3
4 95 5
4 96 2
4 97 10
4 98 1
4 99 10
4 100 9
4 101 2
4 102 3
4 103 4
4 104 1
4 105 8
4 106 4
4 107 10
4 108 4
4 109 3
4 110 7
4 111 4
4 112 8
4 113 3
4 114 8
4 115 3
4 116 10
4 117 9
4 118 5
4 119 1
4 120 8
4 121 10
4 122 8
4 123 8
4 124 10
4 125 10
4 126 7
4 127 2
4 128 4
4 129 6
4 130 9
4 131 5
4 132 3
4 133 5
4 134 8
4 135 3
4 136 5
4 137 1
4 138 6
4 139 4
4 140 1
4 141 9
4 142 8
4 143 3
4 144 7
4 145 6
4 146 5
4 147 8
4 148 4
4 149 3
4 150 7
4 151 8
4 152 9
4 153 8
4 154 9
4 155 2
4 156 4
4 157 1
4 158 2
4 159 4
4 160 2
4 161 10
4 162 4
4 163 5
4 164 9
4 165 7
4 166 4
4 167 2
4 168 4
4 169 9
4 170 3
4 171 9
4 172 8
4 173 9
4 174 8
4 175 10
4 176 5
4 177 1
4 178 3
4 179 4
4 180 2
4 181 1
4 182 3
4 183 8
4 184 4
4 185 4
4 186 9
4 187 10
4 188 10
4 189 9
4 190 2
4 191 2
4 192 10
4 193 7
4 194 6
4 195 2
4 196 1
4 197 9
4 198 6
4 199 6
4 200 5
4 201 3
4 202 2
4 203 9
4 204 10
4 205 6
4 206 5
4 207 4
4 208 6
4 209 6
4 210 2
4 211 7
4 212 8
4 213 10
4 214 9
4 215 2
4 216 5
4 217 1
4 218 10
4 219 6
4 220 8
4 221 2
4 222 1
4 223 3
4 224 5
4 225 10
4 226 6
4 227 1
4 228 5
4 229 1
4 230 4
4 231 5
4 232 1
4 233 9
4 234 1
4 235 2
4 236 6
4 237 1
4 238 4
4 239 8
4 240 7
4 241 9
4 242 7
4 243 1
4 244 9
4 245 6
4 246 5
4 247 10
4 248 5
4 249 4
4 250 8
4 251 4
4 252 5
4 253 7
4 254 8
4 255 2
5 0 2
5 1 3
5 2 2
5 3 10
5 4 1
5 5 5
5 6 9
5 7 3
5 8 2
5 9 10
5 10 5
5 11 9
5 12 10
5 13 3
5 14 5
5 15 1
5 16 10
5 17 9
5 18 1
5 19 6
5 20 1
5 21 3
5 22 6
5 23 5
5 24 4
5 25 4
5 26 6
5 27 2
5 28 1
5 29 1
5 30 5
5 31 2
5 32 5
5 33 5
5 34 2
5 35 9
5 36 3
5 37 10
5 38 10
5 39 10
5 40 4
5 41 8
5 42 1
5 43 7
5 44 2
5 45 1
5 46 5
5 47 6
5 48 10
5 49 10
5 50 4
5 51 9
5 52 1
5 53 9
5 54 6
5 55 3
5 56 9
5 57 8
5 58 3
5 59 1
5 60 3
5 61 1
5 62 3
5 63 4
5 64 5
5 65 3
5 66 7
5 67 9
5 68 9
5 69 10
5 70 7
5 71 8
5 72 6
5 73 5
5 74 10
5 75 4
5 76 5
5 77 5
5 78 10
5 79 1
5 80 5
5 81 7
5 82 8
5 83 9
5 84 6
5 85 10
5 86 3
5 87 1
5 88 2
5 89 9
5 90 6
5 91 10
5 92 9
5 93 7
5 94 1
5 95 9
5 96 3
5 97 3
5 98 1
5 99 7
5 100 7
5 101 8
5 102 1
5 103 9
5 104 3
5 105 9
5 106 7
5 107 10
5 108 2
5 109 8
5 110 10
5 111 6
5 112 8
5 113 3
5 114 5
5 115 9
5 116 10
5 117 3
5 118 1
5 119 2
5 120 1
5 121 10
5 122 7
5 123 1
5 124 5
5 125 7
5 126 9
5 127 7
5 128 9
5 129 1
5 130 8
5 131 4
5 132 3
5 133 4
5 134 2
5 135 7
5 136 3
5 137 2
5 138 10
5 139 7
5 140 5
5 141 5
5 142 6
5 143 5
5 144 8
5 145 10
5 146 2
5 147 10
5 148 10
5 149 4
5 150 8
5 151 3
5 152 2
5 153 1
5 154 10
5 155 3
5 156 7
5 157 9
5 158 2
5 159 6
5 160 4
5 161 4
5 162 2
5 163 2
5 164 3
5 165 6
5 166 2
5 167 10
5 168 10
5 169 5
5 170 9
5 171 9
5 172 5
5 173 6
5 174 3
5 175 7
5 176 5
5 177 4
5 178 9
5 179 6
5 180 1
5 181 9
5 182 2
5 183 6
5 184 4
5 185 10
5 186 2
5 187 2
5 188 1
5 189 7
5 190 8
5 191 8
5 192 10
5 193 2
5 194 8
5 195 1
5 196 3
5 197 1
5 198 3
5 199 10
5 200 1
5 201 5
5 202 4
5 203 1
5 204 9
5 205 10
5 206 1
5 207 6
5 208 10
5 209 9
5 210 9
5 211 6
5 212 6
5 213 2
5 214 6
5 215 5
5 216 7
5 217 1
5 218 2
5 219 10
5 220 2
5 221 6
5 222 6
5 223 5
5 224 1
5 225 6
5 226 5
5 227 1
5 228 7
5 229 7
5 230 5
5 231 4
5 232 4
5 233 7
5 234 9
5 235 7
5 236 8
5 237 10
5 238 3
5 239 10
5 240 3
5 241 5
5 242 4
5 243 3
5 244 9
5 245 3
5 246 4
5 247 3
5 248 10
5 249 5
5 250 5
5 251 4
5 252 5
5 253 6
5 254 6
5 255 7
6 0 1
6 1 4
6 2 7
6 3 4
6 4 2
6 5 7
6 6 8
6 7 6
6 8 9
6 9 5
6 10 4
6 11 2
6 12 2
6 13 3
6 14 6
6 15 3
6 16 6
6 17 1
6 18 4
6 19 8
6 20 1
6 21 4
6 22 6
6 23 5
6 24 9
6 25 6
6 26 5
6 27 10
6 28 9
6 29 1
6 30 3
6 31 8
6 32 1
6 33 8
6 34 3
6 35 10
6 36 7
6 37 2
6 38 4
6 39 5
6 40 1
6 41 7
6 42 1
6 43 4
6 44 5
6 45 7
6 46 3
6 47 4
6 48 10
6 49 9
6 50 2
6 51 3
6 52 2
6 53 9
6 54 8
6 55 5
6 56 9
6 57 2
6 58 10
6 59 7
6 60 2
6 61 7
6 62 1
6 63 10
6 64 1
6 65 9
6 66 5
6 67 10
6 68 9
6 69 5
6 70 7
6 71 4
6 72 6
6 73 1
6 74 1
6 75 3
6 76 6
6 77 4
6 78 4
6 79 2
6 80 9
6 81 2
6 82 3
6 83 7
6 84 1
6 85 5
6 86 9
6 87 9
6 88 10
6 89 5
6 90 4
6 91 1
6 92 9
6 93 2
6 94 6
6 95 6
6 96 1
6 97 9
6 98 6
6 99 5
6 100 7
6 101 4
6 102 7
6 103 10
6 104 5
6 105 1
6 106 2
6 107 1
6 108 8
6 109 3
6 110 4
6 111 9
6 112 2
6 113 5
6 114 8
6 115 3
6 116 2
6 117 9
6 118 9
6 119 6
6 120 2
6 121 1
6 122 6
6 123 5
6 124 3
6 125 3
6 126 5
6 127 2
6 128 3
6 129 4
6 130 6
6 131 9
6 132 7
6 133 4
6 134 6
6 135 9
6 136 9
6 137 10
6 138 8
6 139 5
6 140 4
6 141 2
6 142 4
6 143 4
6 144 3
6 145 8
6 146 6
6 147 4
6 148 3
6 149 5
6 150 1
6 151 1
6 152 2
6 153 3
6 154 4
6 155 6
6 156 9
6 157 5
6 158 1
6 159 10
6 160 9
6 161 5
6 162 10
6 163 7
6 164 1
6 165 10
6 166 4
6 167 2
6 168 3
6 169 7
6 170 6
6 171 1
6 172 4
6 173 6
6 174 6
6 175 8
6 176 4
6 177 2
6 178 6
6 179 6
6 180 10
6 181 2
6 182 1
6 183 9
6 184 7
6 185 4
6 186 3
6 187 10
6 188 5
6 189 8
6 190 10
6 191 8
6 192 2
6 193 9
6 194 7
6 195 6
6 196 10
6 197 2
6 198 1
6 199 7
6 200 2
6 201 4
6 202 6
6 203 8
6 204 7
6 205 6
6 206 6
6 207 5
6 208 10
6 209 8
6 210 10
6 211 7
6 212 9
6 213 3
6 214 1
6 215 8
6 216 8
6 217 7
6 218 1
6 219 8
6 220 8
6 221 5
6 222 9
6 223 8
6 224 3
6 225 6
6 226 1
6 227 6
6 228 8
6 229 6
6 230 5
6 231 10
6 232 5
6 233 5
6 234 6
6 235 4
6 236 10
6 237 2
6 238 9
6 239 9
6 240 9
6 241 3
6 242 7
6 243 10
6 244 1
6 245 8
6 246 10
6 247 4
6 248 10
6 249 4
6 250 7
6 251 3
6 252 10
6 253 6
6 254 6
6 255 5
7 0 3
7 1 4
7 2 2
7 3 7
7 4 7
7 5 3
7 6 4
7 7 5
7 8 5
7 9 7
7 10 7
7 11 3
7 12 10
7 13 2
7 14 3
7 15 3
7 16 7
7 17 8
7 18 2
7 19 10
7 20 5
7 21 10
7 22 6
7 23 7
7 24 1
7 25 6
7 26 6
7 27 4
7 28 10
7 29 10
7 30 6
7 31 7
7 32 2
7 33 9
7 34 9
7 35 8
7 36 8
7 37 5
7 38 4
7 39 7
7 40 7
7 41 5
7 42 3
7 43 4
7 44 8
7 45 4
7 46 6
7 47 2
7 48 3
7 49 2
7 50 7
7 51 3
7 52 4
7 53 4
7 54 1
7 55 9
7 56 7
7 57 5
7 58 7
7 59 1
7 60 9
7 61 5
7 62 6
7 63 9
7 64 6
7 65 7
7 66 10
7 67 10
7 68 4
7 69 10
7 70 8
7 71 4
7 72 5
7 73 4
7 74 6
7 75 10
7 76 2
7 77 9
7 78 6
7 79 10
7 80 7
7 81 8
7 82 5
7 83 6
7 84 2
7 85 3
7 86 3
7 87 6
7 88 10
7 89 6
7 90 5
7 91 9
7 92 4
7 93 2
7 94 4
7 95 10
7 96 2
7 97 5
7 98 2
7 99 2
7 100 7
7 101 6
7 102 3
7 103 7
7 104 10
7 105 6
7 106 10
7 107 1
7 108 4
7 109 3
7 110 5
7 111 5
7 112 8
7 113 3
7 114 7
7 115 4
7 116 10
7 117 9
7 118 7
7 119 3
7 120 8
7 121 1
7 122 4
7 123 8
7 124 9
7 125 7
7 126 5
7 127 3
7 128 4
7 129 2
7 130 4
7 131 7
7 132 8
7 133 9
7 134 5
7 135 9
7 136 6
7 137 5
7 138 6
7 139 5
7 140 7
7 141 3
7 142 2
7 143 3
7 144 4
7 145 2
7 146 5
7 147 5
7 148 3
7 149 10
7 150 8
7 151 4
7 152 4
7 153 10
7 154 6
7 155 3
7 156 4
7 157 3
7 158 5
7 159 7
7 160 5
7 161 6
7 162 3
7 163 10
7 164 6
7 165 4
7 166 3
7 167 3
7 168 6
7 169 9
7 170 7
7 171 6
7 172 2
7 173 9
7 174 10
7 175 1
7 176 3
7 177 3
7 178 2
7 179 7
7 180 2
7 181 5
7 182 1
7 183 3
7 184 5
7 185 8
7 186 5
7 187 3
7 188 3
7 189 7
7 190 8
7 191 7
7 192 1
7 193 3
7 194 5
7 195 9
7 196 7
7 197 4
7 198 4
7 199 6
7 200 1
7 201 2
7 202 8
7 203 4
7 204 4
7 205 5
7 206 8
7 207 3
7 208 7
7 209 1
7 210 10
7 211 10
7 212 1
7 213 3
7 214 5
7 215 8
7 216 6
7 217 9
7 218 9
7 219 3
7 220 3
7 221 2
7 222 2
7 223 8
7 224 7
7 225 10
7 226 2
7 227 10
7 228 8
7 229 9
7 230 6
7 231 1
7 232 8
7 233 4
7 234 3
7 235 4
7 236 8
7 237 8
7 238 1
7 239 10
7 240 6
7 241 1
7 242 4
7 243 1
7 244 9
7 245 4
7 246 10
7 247 1
7 248 4
7 249 3
7 250 7
7 251 9
7 252 7
7 253 3
7 254 3
7 255 4
8 0 4
8 1 4
8 2 7
8 3 1
8 4 1
8 5 9
8 6 10
8 7 10
8 8 1
8 9 4
8 10 3
8 11 7
8 12 1
8 13 9
8 14 6
8 15 10
8 16 4
8 17 10
8 18 8
8 19 9
8 20 3
8 21 9
8 22 5
8 23 3
8 24 1
8 25 1
8 26 7
8 27 10
8 28 1
8 29 2
8 30 6
8 31 10
8 32 2
8 33 7
8 34 9
8 35 8
8 36 3
8 37 2
8 38 8
8 39 7
8 40 2
8 41 8
8 42 9
8 43 2
8 44 10
8 45 7
8 46 1
8 47 10
8 48 7
8 49 5
8 50 7
8 51 7
8 52 9
8 53 5
8 54 2
8 55 9
8 56 10
8 57 6
8 58 1
8 59 4
8 60 5
8 61 8
8 62 7
8 63 5
8 64 3
8 65 4
8 66 9
8 67 9
8 68 6
8 69 9
8 70 9
8 71 5
8 72 10
8 73 5
8 74 8
8 75 7
8 76 3
8 77 10
8 78 4
8 79 2
8 80 5
8 81 5
8 82 5
8 83 2
8 84 9
8 85 7
8 86 1
8 87 10
8 88 2
8 89 2
8 90 6
8 91 8
8 92 8
8 93 1
8 94 10
8 95 4
8 96 4
8 97 4
8 98 3
8 99 3
8 100 10
8 101 6
8 102 6
8 103 9
8 104 7
8 105 4
8 106 7
8 107 2
8 108 8
8 109 1
8 110 9
8 111 5
8 112 1
8 113 6
8 114 8
8 115 6
8 116 4
8 117 2
8 118 7
8 119 2
8 120 3
8 121 2
8 122 2
8 123 2
8 124 5
8 125 2
8 126 4
8 127 8
8 128 2
8 129 6
8 130 6
8 131 9
8 132 10
8 133 1
8 134 7
8 135 3
8 136 1
8 137 4
8 138 4
8 139 4
8 140 4
8 141 1
8 142 1
8 143 3
8 144 9
8 145 10
8 146 3
8 147 3
8 148 10
8 149 7
8 150 1
8 151 5
8 152 1
8 153 6
8 154 9
8 155 7
8 156 6
8 157 5
8 158 4
8 159 2
8 160 1
8 161 1
8 162 7
8 163 5
8 164 10
8 165 2
8 166 6
8 167 3
8 168 7
8 169 1
8 170 4
8 171 10
8 172 10
8 173 6
8 174 10
8 175 6
8 176 9
8 177 9
8 178 8
8 179 10
8 180 6
8 181 2
8 182 2
8 183 6
8 184 9
8 185 9
8 186 9
8 187 2
8 188 9
8 189 4
8 190 2
8 191 3
8 192 5
8 193 1
8 194 10
8 195 8
8 196 8
8 197 8
8 198 3
8 199 1
8 200 2
8 201 10
8 202 1
8 203 4
8 204 8
8 205 1
8 206 4
8 207 1
8 208 6
8 209 10
8 210 7
8 211 10
8 212 8
8 213 5
8 214 1
8 215 1
8 216 3
8 217 5
8 218 6
8 219 3
8 220 8
8 221 6
8 222 3
8 223 5
8 224 3
8 225 10
8 226 5
8 227 8
8 228 10
8 229 3
8 230 9
8 231 2
8 232 4
8 233 4
8 234 6
8 235 2
8 236 9
8 237 10
8 238 5
8 239 10
8 240 9
8 241 9
8 242 10
8 243 2
8 244 1
8 245 8
8 246 7
8 247 7
8 248 1
8 249 4
8 250 7
8 251 8
8 252 2
8 253 5
8 254 1
8 255 8
9 0 3
9 1 3
9 2 8
9 3 1
9 4 2
9 5 5
9 6 1
9 7 2
9 8 5
9 9 1
9 10 4
9 11 10
9 12 1
9 13 3
9 14 1
9 15 7
9 16 5
9 17 8
9 18 10
9 19 2
9 20 9
9 21 10
9 22 6
9 23 7
9 24 10
9 25 10
9 26 3
9 27 8
